"pregunta","respuesta","contexto","archivo"
"¿Dónde se encuentra la Iglesia de San Nicolás de Bari y por qué es tan especial?","La Iglesia de San Nicolás de Bari se encuentra en la calle Caballeros, en pleno centro histórico de Valencia. Es conocida como la 'Capilla Sixtina' valenciana debido al esplendor de los frescos barrocos que cubren sus más de 2.000 metros cuadrados de bóvedas, nervios y columnas.","La Iglesia de San Nicolás de Bari es conocida tras su restauración en 2016 como la ‘Capilla Sixtina’ valenciana. Es una de las iglesias más antiguas de la ciudad, de estilo gótico, situada en la calle Caballeros, en pleno centro histórico. ¡No te vayas de València sin acercarte a disfrutar del esplendor de los frescos barrocos que cubren los más de 2.000 metros cuadrados de sus bóvedas, nervios y columnas!","Articulos del blog/10-joyas-escondidas-que-te-sorprenderan-en-valencia.txt"
"¿Qué representa la Estación del Norte de Valencia y qué la hace especial?","La Estación del Norte de Valencia es un espectacular edificio modernista que refleja múltiples detalles que representan la cultura valenciana. Destacan los mosaicos de su interior y su fachada, con motivos vegetales, naranjas y flores de azahar, inspirados en la agricultura valenciana.","La Estación del Norte de València refleja múltiples detalles que representan la cultura valenciana, destacada por los increíbles mosaicos de su interior y su fachada, con motivos vegetales, naranjas y flores de azahar, se inspira en la agricultura valenciana.","Articulos del blog/10-joyas-escondidas-que-te-sorprenderan-en-valencia.txt"
"¿Qué se puede encontrar dentro del Palacio del Marqués de dos Aguas?","El Palacio del Marqués de dos Aguas alberga el Museo Nacional de Cerámica-González Martí, con una colección que va desde el siglo XVIII hasta piezas de Picasso. También cuenta con una increíble sala de baile que remonta a los grandes palacios de la época victoriana.","Su fachada no deja indiferente a nadie, pero además, alberga en él el Museo Nacional de Cerámica-González Martí, con una colección que va desde el siglo XVIII hasta piezas de Picasso. Cuenta también con una increíble sala de baile que nos remonta a los grandes palacios de la época victoriana.","Articulos del blog/10-joyas-escondidas-que-te-sorprenderan-en-valencia.txt"
"¿Dónde están ubicados los Jardines de Monforte y qué los caracteriza?","Los Jardines de Monforte están situados cerca de los Jardines de Viveros. Son de estilo neoclásico y cuentan con abundantes estatuas, estanques, surtidores, calles y pabellones de reposo que consiguen efectos paisajísticos muy sugerentes y atractivos.","Un lugar muy especial con un toque romántico, situado cerca de los Jardines de Viveros. ¡Perfecto para desconectar dentro de la ciudad! Los Jardines de Monforte, de estilo neoclásico, cuentan con abundantes estatuas, estanques, surtidores, calles y pabellones de reposo que consiguen efectos paisajísticos muy sugerentes y atractivos.","Articulos del blog/10-joyas-escondidas-que-te-sorprenderan-en-valencia.txt"
"¿Qué función cumple actualmente el Monasterio de San Miguel de los Reyes?","El Monasterio de San Miguel de los Reyes, que es uno de los mejores exponentes de la arquitectura valenciana del Renacimiento, actualmente es sede de la Biblioteca Valenciana.","Otra de las joyas que te sorprenderá en tu visita a València es el Monasterio de San Miguel de los Reyes, uno de los mejores exponentes de la arquitectura valenciana del Renacimiento, que actualmente es sede de la Biblioteca Valenciana.","Articulos del blog/10-joyas-escondidas-que-te-sorprenderan-en-valencia.txt"
"¿Qué puedo encontrar en el Museo de Soldaditos de Plomo L'Iber?","El Museo de Soldaditos de Plomo L'Iber cuenta con una exposición de más de 95.000 piezas y se encuentra en un antiguo palacio de estilo gótico en la calle Caballeros. Es el mayor museo de miniaturas históricas del mundo.","El Museo de Soldaditos de Plomo L’Iber, se encuentra en pleno centro histórico y cuenta con una exposición de más de 95.000 piezas. Además, se encuentra ubicado en un antiguo palacio de estilo gótico que está ubicado en la calle Caballeros.","Articulos del blog/10-joyas-escondidas-que-te-sorprenderan-en-valencia.txt"
"¿Qué son los Tinglados del Puerto?","Los Tinglados del Puerto son tres edificaciones industriales de estilo modernista que muestran relieves alusivos al comercio y la navegación, con preciosos mosaicos que representan la cultura valenciana.","Estos últimos son tres edificaciones industriales de estilo modernista que muestran relieves alusivos al comercio y la navegación, con preciosos mosaicos que representan la cultura valenciana.","Articulos del blog/10-joyas-escondidas-que-te-sorprenderan-en-valencia.txt"
"¿Qué tipo de arquitectura representa El Patriarca y qué alberga en su interior?","El Patriarca es uno de los mejores ejemplos de la arquitectura renacentista. Actualmente alberga el Museo del Colegio, con obras de pinturas de Caravaggio, El Greco, Van Der Weyden, Benlliure, Ribalta o Pinazo, entre otros.","Declarado Monumento Nacional y Bien de Interés Cultural, ¡es uno de los mejores ejemplos de la arquitectura renacentista! Actualmente alberga el Museo del Colegio, con obras de pinturas de Caravaggio, El Greco, Van Der Weyden, Benlliure, Ribalta o Pinazo, entre otros.","Articulos del blog/10-joyas-escondidas-que-te-sorprenderan-en-valencia.txt"
"¿Qué representa el Parque Gulliver y dónde se encuentra?","El Parque Gulliver, situado en los Jardines del Turia, es una escultura monumental de 70 metros con toboganes que representa el momento en el que el gigante Gulliver llega al país de Lilliput y es atacado por los liliputienses.","El Parque Gulliver, situado en los Jardines del Turia, es uno de los lugares favoritos tanto de los niños valencianos como de los pequeños turistas. Se trata de una escultura monumental de 70 metros con increíbles toboganes, que representa el momento en el que el gigante Gulliver, el personaje creado por Jonathan Swift, llega al país de Lilliput y es atacado por los liliputienses.","Articulos del blog/10-joyas-escondidas-que-te-sorprenderan-en-valencia.txt"
"¿Qué tipo de restos puedo encontrar en el Museo de l'Almoina?","En el Museo de l'Almoina se pueden contemplar restos de más de 2.000 años, que muestran la evolución urbana de Valencia desde su fundación por los romanos hasta la actualidad, pasando por los visigodos y los árabes.","Es un espacio en el que puede contemplarse y entenderse la evolución urbana de València desde su fundación, desde el punto a partir del cual los romanos trazaron la futura ciudad, la Valentia Imperial, hasta nuestros días, pasando por los visigodos y los árabes.","Articulos del blog/10-joyas-escondidas-que-te-sorprenderan-en-valencia.txt"
"¿Qué deporte acuático es ideal para días sin olas y ejercita el equilibrio?","El paddle surf es ideal para días sin olas y ejercita el equilibrio, la fuerza y la coordinación.","El paddle surf llegó para quedarse. Desde que en 2008 comenzara a practicarse en España, se ha convertido en una de las actividades acuáticas más solicitadas en las costas. Y es que lo tiene todo: es perfecto para días sin olas, y muy completo como deporte, pues se ejercita el equilibrio, la fuerza, la coordinación y no hay impacto.","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿Dónde puedo tomar un bautismo de paddle surf en Valencia?","Puedes tomar un bautismo de paddle surf con Ocean Republik en las aguas de la playa de la Malvarrosa o en La Marina de València, los sábados y domingos, a las 10:00 o las 12:00 h. La actividad dura una hora y media y está indicada para mayores de 8 años.","Pruébalo con el bautismo que ofrece Ocean Republik en las aguas de la playa de la Malvarrosa o en La Marina de València, sábados y domingos, a las 10:00 o las 12:00 h. La actividad dura una hora y media y está indicada para mayores de 8 años.","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿Qué días se ofrecen clases de windsurf en la Marina de València?","Las clases de windsurf se ofrecen los sábados y domingos a las 12:00 h y a las 15:00 h en la Marina de València.","Las clases de windsurf pueden realizarse los sábados y domingos a las 12:00 h y a las 15:00 h. en la Marina de València, aunque si te interesa otro horario, consúltanos aquí.","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿Qué edad mínima se necesita para conducir una moto de agua?","La edad mínima para conducir una moto de agua es de 16 años.","Y cualquier día es bueno para probarlo, pues la actividad está disponible todos los días de la semana, de 9:00 h a 20:00 h y a partir de los 16 años.","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿Qué puedo hacer para disfrutar de una puesta de sol romántica en el mar?","Puedes reservar una puesta de sol en catamarán, que incluye una travesía de hora y media acompañada de una copa de Agua de València, el cóctel local. Este plan empieza a las 20:00 h.","Si buscas un plan original, romántico y tranquilo, reserva una puesta de sol en catamarán. Disfrutaréis de una travesía de hora y media acompañada de una copa de la conocida Agua de València, el cóctel local por excelencia, hecho de zumo de naranja, cava y otros licores. Este planazo empieza a las 20:00 h.","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿Qué opciones tengo para comer en alta mar?","Puedes disfrutar de una comida en alta mar los viernes y domingos con Mundo Marino, en una travesía de tres horas que zarpa a las 13:00 h desde la Marina de València, o con Boramar, casi todos los días a las 14:00 h en una travesía de dos horas.","Todos los viernes y domingos, a las 13:00 h., el catamarán de Mundo Marino zarpa desde la Marina de València para perderse en el Mediterráneo. ¿El plan? Pasar tres horas en el mar con comida incluida. [...] Tienes otro plan muy parecido, pero en dos horas, con la embarcación de Boramar, con salida casi todos los días a las 14:00 h.","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿Dónde sale la excursión con baño y cuándo?","La excursión con baño sale desde los pies del edificio Veles e Vents en La Marina, excepto los martes. Hay dos salidas: a las 13:00 y a las 16:30, menos los sábados que solo se ofrece por la mañana.","Elige la excursión con baño que, excepto los martes, sale desde los pies del edificio Veles e Vents en La Marina. De nuevo a bordo de un catamarán, esta vez durante hora y media y con dos salidas: a las 13:00 y a las 16:30 (menos los sábados, que únicamente se ofrece por la mañana).","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿El Real Club Náutico de Valencia ofrece clases de windsurf para principiantes?","Sí, el Real Club Náutico de València (RCNV) ofrece clases de iniciación de windsurf en jornadas de 6 o 12 horas y repartidas en sesiones de tres horas. No hace falta tener conocimientos previos y está pensado para todas las edades.","El Real Club Náutico de València (RCNV) ofrece clases de iniciación o perfeccionamiento de vela o windsurf en jornadas de 6 o 12 horas y repartidas en sesiones de tres horas. No te cortes, no hace falta tener conocimientos previos y está pensado para todas las edades.","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿Qué tipo de embarcaciones puedo alquilar para ir por libre en la costa de Valencia?","Puedes alquilar desde yates de hasta 16 metros hasta lanchas o neumáticas que no necesitan titulación.","Ahora puedes tener un yate de hasta 16 metros a tu disposición. ¿Prefieres que te lleven? Alquílalo con patrón. ¿Quieres ir por libre? Tienes embarcaciones que no necesitan ni titulación, como las lanchas o las neumáticas.","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿Qué actividades acuáticas divertidas puedo hacer con amigos o familia en Valencia?","Puedes probar el banana boat, donde te arrastran en un barco alargado amarillo, o el fly board, donde vuelas sobre el mar hasta 12 metros.","-Banana boat. Pues eso. Un barco alargado amarillo plátano en el que te subes y eres arrastrado por una lancha motora. ¡A ver cuánto aguantáis sin caer al mar! Es una experiencia de 20 minutos ¡llenos de risas! -Fly board. Este para más atrevidos y para mayores de 18. Es prácticamente calzarse una tabla y volar sobre el mar hasta 12 metros. ¡Para probarlo al menos una vez!","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿Dónde puedo disfrutar de la gastronomía con vistas al mar en Valencia?","Puedes disfrutar de la oferta gastronómica en la Marina de València, donde hay restaurantes con vistas al mar y terrazas animadas con música y copas.","No te olvides de vivir cualquiera de estas experiencias náuticas saboreando la oferta gastronómica de la ciudad en un enclave de excepción: la Marina de València. Disfruta por el día del ambiente agradable y relajado con increíbles vistas al mar de todos los restaurantes, además a un paso de la playa. Pero no te pierdas el bullicio que llega con el atardecer, cuando las terrazas se animan con música y copas para poner el broche de oro a tu día en València.","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿Puedo obtener algún descuento en las actividades mencionadas?","Sí, puedes aprovechar el descuento del 10% con la València Tourist Card en las actividades del 1 al 5.","PD: Aprovecha el descuento del 10% con la València Tourist Card en las actividades del 1 al 5 ","Articulos del blog/10-planes-en-el-mar-que-no-puedes-perderte-en-valencia.txt"
"¿Qué tipo de actividades se pueden disfrutar en Valencia durante el puente de noviembre?","Durante el puente de noviembre en Valencia, puedes disfrutar de paseos por la playa, tapear en terrazas, degustar arroz, explorar el casco histórico, disfrutar de la agenda cultural y artística, realizar excursiones en catamarán, visitar la Ciudad de las Artes y las Ciencias, pasear en barca por la Albufera, asistir al musical Flashdance, visitar el València Boat Show, la exposición Van Gogh Alive, hacer excursiones en motos de agua, pasear en bici por los Jardines del Turia, visitar Bioparc València, y practicar paddle surf, windsurf y kitesurf.","El tiempo en noviembre todavía invita a pasear por la playa, sentarse en una terraza a tapear o degustar un buen arroz y callejear por uno de los cascos históricos más interesantes de Europa. Pero, además en València el otoño está cargado de las mejores propuestas culturales y artísticas. [...] Y si estás indeciso, no lo dudes, València es la mejor opción para desconectar de la rutina en el puente de noviembre, ¡mira!","Articulos del blog/10-planes-para-aprovechar-al-maximo-el-puente-de-noviembre-en-valencia.txt"
"¿Qué es la Ciudad de las Artes y las Ciencias?","La Ciudad de las Artes y las Ciencias es un complejo vanguardista donde se puede pasear por los Jardines del Turia, visitar el Oceanogràfic, ver una película en el Hemisfèric, descubrir los secretos de la ciencia en el Museo Príncipe Felipe, y disfrutar de la arquitectura y la música en el Palau de Les Arts.","En el puente o en cualquier época del año, es una visita imprescindible. Pasear por los Jardines del Turia entre sus espectaculares edificios, entrar al Oceanogràfic a descubrir los hábitats marinos, ver una película en el Hemisfèric, descubrir los secretos de la ciencia en el Museo Príncipe Felipe o disfrutar de la arquitectura y la música en el Palau de Les Arts, son algunas de las cosas que podrás hacer en este complejo vanguardista.","Articulos del blog/10-planes-para-aprovechar-al-maximo-el-puente-de-noviembre-en-valencia.txt"
"¿Qué se puede hacer en la Albufera de Valencia?","En la Albufera de Valencia, se puede dar un paseo en 'albuferenc', la embarcación tradicional, y degustar una paella valenciana en el lugar donde se originó.","Para conocer a fondo el Parque Natural de la Albufera, no hay nada mejor que un paseo por el lago en ‘albuferenc’, la embarcación tradicional de la zona, y degustar una paella valenciana aquí donde se originó.","Articulos del blog/10-planes-para-aprovechar-al-maximo-el-puente-de-noviembre-en-valencia.txt"
"¿Qué musical se puede ver en el Teatro Olympia durante el puente de noviembre?","Durante el puente de noviembre, se puede ver el musical Flashdance en el Teatro Olympia, que narra la historia de Álex y sus esfuerzos por convertirse en bailarina profesional.","Tanto si no puedes evitar emocionarte con esa corografía final de la película con la mítica canción What a feeling, como si ni siquiera la has visto, este musical es un planazo para alguna noche del puente. Narra los esfuerzos de Álex por convertirse en bailarina profesional al ritmo de los ochenta. Una producción que recrea la historia de superación de la película Flashdance en el Teatro Olympia.","Articulos del blog/10-planes-para-aprovechar-al-maximo-el-puente-de-noviembre-en-valencia.txt"
"¿Qué es el València Boat Show?","El València Boat Show es una feria náutica que coincide con el puente de noviembre en la Marina de València, donde se pueden probar embarcaciones, practicar deportes náuticos y disfrutar de talleres familiares y actuaciones musicales.","Si eres aficionado a la náutica estás de suerte, porque este año la feria València Boat Show coincide de pleno con el puente. Acércate a la Marina de València, que está de aniversario, y podrás probar embarcaciones, practicar deportes náuticos y disfrutar de talleres familiares y actuaciones musicales.","Articulos del blog/10-planes-para-aprovechar-al-maximo-el-puente-de-noviembre-en-valencia.txt"
"¿Qué es Van Gogh Alive?","Van Gogh Alive es una exposición multimedia que combina movimiento, luz y música con las obras de Vicent Van Gogh. Se encuentra en el Ateneo Mercantil de València.","El éxito de asistencia ha llevado a prorrogar esta exposición multimedia que ya es la más visitada del mundo. Podrás visitarla estos días en el Ateneo Mercantil de València. Van Gogh Alive es una experiencia pionera que, con las obras de Vicent Van Gogh, combina movimiento, luz y música.","Articulos del blog/10-planes-para-aprovechar-al-maximo-el-puente-de-noviembre-en-valencia.txt"
"¿Dónde puedo ver animales africanos en Valencia?","Puedes ver animales africanos en Bioparc València, un parque que recrea hábitats africanos donde conviven leopardos, lémures, hienas, leones, jirafas, gorilas, rinocerontes, hipopótamos, entre otros.","Tu escapada a València te permitirá incluso adentrarte en la sabana africana gracias a Bioparc València. Un parque en el que leopardos, lémures, hienas, leones, jirafas, gorilas, rinocerontes, hipopótamos, puercoespines, avestruces, elefantes, nutrias… conviven con en hábitats magníficamente recreados.","Articulos del blog/10-planes-para-aprovechar-al-maximo-el-puente-de-noviembre-en-valencia.txt"
"¿Dónde puedo hacer deportes acuáticos como paddle surf en Valencia?","En Valencia, puedes disfrutar de paddle surf, windsurf y kitesurf con clases y alquiler de material gracias a Ocean Republik.","Aprovecha para una última inmersión en el mar, que luego el invierno es largo… En València, gracias a Ocean Republik, puedes disfrutar de estas actividades con clases y alquiler de material.","Articulos del blog/10-planes-para-aprovechar-al-maximo-el-puente-de-noviembre-en-valencia.txt"
"¿Qué puedo hacer en los Jardines del Turia?","En los Jardines del Turia puedes pasear en bicicleta, ya sea por tu cuenta alquilando las bicis o contratando un bike tour.","Puedes alquilar las bicis y hacerlo por tu cuenta o contratar bike tour. Es una de las actividades más recomendadas en València, ¡no te lo pierdas!","Articulos del blog/10-planes-para-aprovechar-al-maximo-el-puente-de-noviembre-en-valencia.txt"
"¿Por qué Valencia fue designada Capital Mundial del Diseño?","Valencia fue designada Capital Mundial del Diseño 2022, lo que motivó la creación de una lista de 22 recomendaciones de souvenirs de diseño para llevarse un pedazo de talento valenciano.","Y para quienes deseen volver a casa llevando consigo un pedazo de talento valenciano en formato de bolsillo (o casi), aquí va una lista surtida con 22 recomendaciones, con motivo de la designación de València como Capital Mundial del Diseño 2022.","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo comprar el juego de mesa 'El Joc de València'?","Puedes comprar 'El Joc de València' en Atypical (Caballeros, 10) y en su tienda online www.atypicalvalencia.com.","Las láminas y el juego están disponibles en Atypical (Caballeros, 10) y en www.atypicalvalencia.com.","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo encontrar bolsos y bolsas ilustrados con motivos valencianos?","Puedes encontrar bolsos y bolsas ilustrados con motivos valencianos en La Postalera (Corretgeria, 4) y en su tienda online www.lapostalera.es.","Disponible en La Postalera (Corretgeria, 4) y en www.lapostalera.es.","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Qué tipo de casco de bicicleta de diseño puedo encontrar en Valencia?","Puedes encontrar Closca Helmet, del estudio CuldeSac, reconocido con premios internacionales como el Red Dot Design. Está disponible en Do You Bike (Mar, 14).","Uno de los estándares del diseño valenciano es Closca Helmet, del estudio CuldeSac, reconocido por premios internacionales como el Red Dot Design. Disponible en Do You Bike (Mar, 14).","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo comprar el botijo 'La Siesta'?","Puedes comprar el botijo 'La Siesta' de Diabla en la tienda Vicente Navarro (Cirilo Amorós, 83 – 85).","Disponible en la tienda Vicente Navarro (Cirilo Amorós, 83 – 85).","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo comprar el Jarrón Mano de Eugenia Boscà?","Puedes comprar el Jarrón Mano de Eugenia Boscà en La Postalera (Corretgeria, 4) o en su tienda online.","A la venta en La Postalera (Corretgeria, 4) o en su tienda online.","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo comprar la lámpara Swirl de Lzf?","Puedes comprar la lámpara Swirl de Lzf en Goodlight (Sorní, 26. Primero).","A la venta en Goodlight (Sorní, 26. Primero).","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo comprar la bombonera de Arturo Mora?","Puedes comprar la bombonera de Arturo Mora en el Centro de Artesanía de la Comunitat Valenciana (Hospital, 7).","Disponible en el Centro de Artesanía de la Comunitat Valenciana (Hospital, 7).","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo comprar pañuelos de seda de Ensedarte?","Puedes comprar pañuelos de seda de Ensedarte en su tienda-atelier (Estameñeria Vieja, 6), el Centro de Artesanía de la Comunitat Valenciana (Hospital, 7) y en www.ensedarte.com.","Disponible en su tienda-atelier (Estameñeria Vieja, 6), el Centro de Artesanía de la Comunitat Valenciana (Hospital, 7) y en www.ensedarte.com.","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo comprar abanicos de Vibenca?","Puedes comprar abanicos de Vibenca en su tienda en Plaza Lope de Vega, 5.","Disponible en su tienda en Plaza Lope de Vega, 5.","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo comprar las láminas de Manitas de plata?","Puedes comprar las láminas de Manitas de plata en su taller (Joan Aguilar, 2) y en la tienda Bugalú (Llotja, 6).","Disponible en su taller (Joan Aguilar, 2) y en la tienda Bugalú (Llotja, 6)","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo comprar el vino Maduresa?","Puedes comprar el vino Maduresa en Original CV (Plaza del Mercado, 35).","Disponible en Original CV (Plaza del Mercado, 35).","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo comprar los packs de chocolate de Utopic?","Puedes comprar los packs de chocolate de Utopic en su tienda (Matías Perelló, 14) y en utopick.es.","Disponible en su tienda (Matías Perelló, 14) y en utopick.es.","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde puedo comprar el arroz de Sivaris?","Puedes comprar el arroz de la marca Sivaris en los puestos Setas y Verduras Leiva y Frutas y Verduras Bonafont en el Mercat Central (Plaza Ciudad de Brujas).","Disponible en los puestos Setas y Verduras Leiva y Frutas y Verduras Bonafont en el Mercat Central (Plaza Ciudad de Brujas).","Articulos del blog/22-souvenirs-diseno-valencia.txt"
"¿Dónde se encuentra el Santo Grial?","Según el mito, el auténtico Santo Grial se encuentra en la Catedral de València. Llegó a la ciudad en 1432 por orden de Alfonso V el Magnánimo.","¿Sabías que el auténtico Santo Grial está en la Catedral de València? Su paradero es uno de los misterios más grandes que ha dado la historia del cristianismo.  Se asegura que San Pedro trasladó esta reliquia a la ciudad de Roma, pasó más tarde a ser custodiado por el Reino de Aragón y finalmente llegó a València en 1432, por orden de Alfonso V el Magnánimo, donde a día de hoy sigue custodiado en la Catedral de València.","Articulos del blog/5-mitos-leyendas-urbanas-sobre-valencia.txt"
"¿Qué criatura habitaba en el antiguo cauce del río Turia según una leyenda?","Según la leyenda, un caimán habitó en el antiguo cauce del río Turia, asustando a la gente. Actualmente, la Iglesia del Patriarca mantiene un caimán disecado como parte de su ornamentación.","Según cuenta la leyenda, un caimán habitó en el antiguo cauce del río Turia, asustando a todo aquel que se acercaba a la orilla y convirtiéndose en un feroz dragón. Blasco Ibáñez plasmó este mito en un cuento llamado “El Dragón y el Patriarca” y, a día de hoy, la Iglesia del Patriarca mantiene al caimán disecado como parte de su ornamentación.","Articulos del blog/5-mitos-leyendas-urbanas-sobre-valencia.txt"
